PERIODO;FECHA;ZONA;DIRECCION_EXACTA;CLASE_ACCIDENTE;SEGUNDO_OBJETO;TIPO_AVERIAS;CANTIDAD_HERIDOS;CANTIDAD_FALLECIDOS;LATITUD;LONGITUD;INTERSECCI_N
19;2019 Jan 01 12:00:00 AM;URBANA;CARRERA-12;VOLCAMIENTO;NA;1;1;1;3.915.866;-76.293.404;POINT (-76.293404 3.915866)
19;2019 Jan 03 12:00:00 AM;URBANA;CALLE-11--CARRERA-9;CHOQUE;VEHICULO;0;0;0;39.018.604;-762.958.616;POINT (-76.2958616 3.9018604)
19;2019 Jan 03 12:00:00 AM;URBANA;CALLE-19--CARRERA-13;CHOQUE;VEHICULO;1;0;0;39.100.202;-762.966.009;POINT (-76.2966009 3.9100202)
19;2019 Jan 04 12:00:00 AM;URBANA;CARRERA-12--CALLE-8;CHOQUE;VEHICULO;1;0;0;39.004.828;-762.994.639;POINT (-76.2994639 3.9004828)
19;2019 Jan 04 12:00:00 AM;URBANA;CALLE-1--CARRERA-24;CHOQUE;VEHICULO;1;0;0;38.969.303;-763.110.354;POINT (-76.3110354 3.8969303)
19;2019 Jan 04 12:00:00 AM;URBANA;CARRERA-13--CALLE-21;CHOQUE;VEHICULO;0;1;0;39.116.583;-762.959.552;POINT (-76.2959552 3.9116583)
19;2019 Jan 05 12:00:00 AM;RURAL;VEREDA-0GALES;VOLCAMIENTO;NA;0;0;1;39.377.089;-762.800.309;POINT (-76.2800309 3.9377089)
19;2019 Jan 05 12:00:00 AM;URBANA;CALLE-19--CARRERA-13;CHOQUE;VEHICULO;1;0;0;39.100.202;-762.966.009;POINT (-76.2966009 3.9100202)
19;2019 Jan 05 12:00:00 AM;URBANA;CALLE-8--CARRERA-23;VOLCAMIENTO;NA;1;0;0;39.038.538;-762.885.992;POINT (-76.2885992 3.9038538)
19;2019 Jan 06 12:00:00 AM;URBANA;CALLE-13--CARRERA-10;CHOQUE;VEHICULO;1;0;0;39.038.503;-762.963.225;POINT (-76.2963225 3.9038503)
19;2019 Jan 07 12:00:00 AM;URBANA;CARRERA-12--CALLE-12-SUR;CHOQUE;VEHICULO;1;0;0;3.886.828;-762.989.862;POINT (-76.2989862 3.886828)
19;2019 Jan 07 12:00:00 AM;URBANA;CARRERA-9--CALLE-3;CHOQUE;VEHICULO;1;0;0;38.957.097;-762.982.019;POINT (-76.2982019 3.8957097)
19;2019 Jan 08 12:00:00 AM;URBANA;CARRERA-3-CALLE-6;CHOQUE;VEHICULO;1;0;0;38.959.818;-762.925.901;POINT (-76.2925901 3.8959818)
19;2019 Jan 08 12:00:00 AM;URBANA;CALLE-19--CARRERA-13;CHOQUE;VEHICULO;1;1;0;39.100.202;-762.966.009;POINT (-76.2966009 3.9100202)
19;2019 Jan 08 12:00:00 AM;URBANA;CARRERA-9-CALLE-10;CHOQUE;VEHICULO;0;1;0;39.010.848;-762.962.038;POINT (-76.2962038 3.9010848)
19;2019 Jan 10 12:00:00 AM;URBANA;CARRERA-12-CALLE-3;CHOQUE;VEHICULO;0;1;0;38.962.197;-763.009.952;POINT (-76.3009952 3.8962197)
19;2019 Jan 11 12:00:00 AM;URBANA;CALLE-9--CARRERA-11;CHOQUE;VEHICULO;0;1;0;3.901;-762.982.436;POINT (-76.2982436 3.901)
19;2019 Jan 11 12:00:00 AM;URBANA;CALLE-16--CARRERA-7;CHOQUE;VEHICULO;0;0;0;39.051.355;-7.629.193;POINT (-76.29193 3.9051355)
19;2019 Jan 12 12:00:00 AM;URBANA;CALLE-21--CARRERA-11;CHOQUE;VEHICULO;1;0;0;39.110.248;-762.943.577;POINT (-76.2943577 3.9110248)
19;2019 Jan 12 12:00:00 AM;URBANA;CARRERA-16--CALLE-1-C;CHOQUE;VEHICULO;1;1;0;38.936.127;-763.061.111;POINT (-76.3061111 3.8936127)
19;2019 Jan 13 12:00:00 AM;URBANA;CALLE-15-CARRERA-9;CHOQUE;VEHICULO;0;1;0;39.054.263;-762.943.331;POINT (-76.2943331 3.9054263)
19;2019 Jan 15 12:00:00 AM;URBANA;CARRERA-18-CALLE-4;CHOQUE;INMUEBLE;0;0;0;38.986.116;-76.306.014;POINT (-76.306014 3.8986116)
19;2019 Jan 17 12:00:00 AM;URBANA;CALLE-7--CARRERA-9;CHOQUE;VEHICULO;1;0;0;38.986.738;-762.971.495;POINT (-76.2971495 3.8986738)
19;2019 Jan 18 12:00:00 AM;URBANA;CARRERA-9--CALLE-2;CHOQUE;VEHICULO;1;1;0;38.946.922;-762.984.417;POINT (-76.2984417 3.8946922)
19;2019 Jan 18 12:00:00 AM;URBANA;CARRERA-12--CALLE-3-SUR;CHOQUE;VEHICULO;0;0;0;38.909.081;-763.023.719;POINT (-76.3023719 3.8909081)
19;2019 Jan 19 12:00:00 AM;URBANA;CARRERA-16--CALLE-19;CHOQUE;VEHICULO;1;1;0;39.113.137;-762.994.247;POINT (-76.2994247 3.9113137)
19;2019 Jan 19 12:00:00 AM;URBANA;CALLE-10--CARRERA-9;CHOQUE;VEHICULO;0;1;0;39.010.848;-762.962.038;POINT (-76.2962038 3.9010848)
19;2019 Jan 21 12:00:00 AM;URBANA;CALLE-23--CARRERA-16;ATROPELLO;NA;0;1;0;39.142.338;-762.983.498;POINT (-76.2983498 3.9142338)
19;2019 Jan 21 12:00:00 AM;URBANA;CALLE-11--CARRERA-13;CHOQUE;VEHICULO;0;0;0;39.032.924;-762.993.459;POINT (-76.2993459 3.9032924)
19;2019 Jan 23 12:00:00 AM;URBANA;CARRERA-12--CALLE-14;CHOQUE;VEHICULO;1;1;0;3.905.465;-76.297.368;POINT (-76.297368 3.905465)
19;2019 Jan 23 12:00:00 AM;URBANA;CARRERA-19--CALLE-4;CHOQUE;VEHICULO;0;0;0;38.986.127;-763.069.452;POINT (-76.3069452 3.8986127)
19;2019 Jan 26 12:00:00 AM;URBANA;CALLE-24--CARRERA-12;CHOQUE;VEHICULO;1;1;0;39.130.875;-76.294.467;POINT (-76.294467 3.9130875)
19;2019 Jan 26 12:00:00 AM;URBANA;CALLE-4-CARRERA-3;CHOQUE;VEHICULO;0;1;0;38.939.116;-762.933.592;POINT (-76.2933592 3.8939116)
19;2019 Jan 30 12:00:00 AM;URBANA;CARRERA-11-CALLE-17;CHOQUE;VEHICULO;0;1;0;39.077.377;-762.955.147;POINT (-76.2955147 3.9077377)
19;2019 Feb 02 12:00:00 AM;URBANA;CALLE-16--CARRERA-15;CHOQUE;VEHICULO;0;1;0;39.084.789;-762.993.152;POINT (-76.2993152 3.9084789)
19;2019 Feb 03 12:00:00 AM;URBANA;CALLE-10--CARRERA-13;CHOQUE;VEHICULO;0;1;0;39.024.844;-762.996.531;POINT (-76.2996531 3.9024844)
19;2019 Feb 03 12:00:00 AM;URBANA;CALLE-18-CARRERA-18;CHOQUE;VEHICULO;0;1;0;39.106.342;-763.011.569;POINT (-76.3011569 3.9106342)
19;2019 Feb 06 12:00:00 AM;URBANA;CARRERA-15--CALLE-16;CHOQUE;VEHICULO;0;0;0;39.084.789;-762.993.152;POINT (-76.2993152 3.9084789)
19;2019 Feb 06 12:00:00 AM;URBANA;CARRERA-14--CALLE-11;CHOQUE;VEHICULO;1;0;0;39.036.881;-763.003.033;POINT (-76.3003033 3.9036881)
19;2019 Feb 07 12:00:00 AM;URBANA;CARRERA-9--CALLE-19;CHOQUE;VEHICULO;1;1;0;39.085.076;-762.930.793;POINT (-76.2930793 3.9085076)
19;2019 Feb 07 12:00:00 AM;RURAL;VIA-BUGA---LA-MAGDALENA;CHOQUE;VEHICULO;0;1;0;388.906;-7.622.014;POINT (-76.22014 3.88906)
19;2019 Feb 09 12:00:00 AM;URBANA;CARRERA-15-CALLE-8;CHOQUE;VEHICULO;0;0;0;39.013.727;-763.020.434;POINT (-76.3020434 3.9013727)
19;2019 Feb 11 12:00:00 AM;URBANA;CALLE-17--CARRERA-13;CHOQUE;VEHICULO;1;0;0;39.084.385;-762.971.976;POINT (-76.2971976 3.9084385)
19;2019 Feb 11 12:00:00 AM;URBANA;CALLE-4-CARRERA-23;CHOQUE;VEHICULO;1;1;0;38.997.402;-763.107.125;POINT (-76.3107125 3.8997402)
19;2019 Feb 11 12:00:00 AM;URBANA;CARRERA-9-CALLE-12-SUR;CHOQUE;VEHICULO;0;1;0;38.879.655;-762.967.712;POINT (-76.2967712 3.8879655)
19;2019 Feb 12 12:00:00 AM;URBANA;CARRERA-13--CALLE-5;CHOQUE;VEHICULO;0;0;0;3.898.103;-763.011.786;POINT (-76.3011786 3.898103)
19;2019 Feb 13 12:00:00 AM;URBANA;CARRERA-25--CALLE-15;CHOQUE;VEHICULO;1;0;0;39.120.107;-763.059.132;POINT (-76.3059132 3.9120107)
19;2019 Feb 14 12:00:00 AM;URBANA;CALLE-7-CARRERA-12;CHOQUE;VEH-EST;1;0;0;38.995.851;-762.997.603;POINT (-76.2997603 3.8995851)
19;2019 Feb 14 12:00:00 AM;URBANA;CALLE-4-CARRERA-24;CHOQUE;POSTE;1;1;0;38.969.303;-763.110.354;POINT (-76.3110354 3.8969303)
19;2019 Feb 18 12:00:00 AM;URBANA;CALLE-21-CARRERA-14;CHOQUE;VEHICULO;0;1;0;39.119.521;-762.964.982;POINT (-76.2964982 3.9119521)
19;2019 Feb 19 12:00:00 AM;URBANA;CARRERA-9--CALLE-5;CHOQUE;VEHICULO;0;1;0;3.896.921;-762.978.143;POINT (-76.2978143 3.896921)
19;2019 Feb 20 12:00:00 AM;URBANA;CALLE-8--CARRERA-19;CHOQUE;VEHICULO;0;0;0;39.027.043;-763.055.363;POINT (-76.3055363 3.9027043)
19;2019 Feb 20 12:00:00 AM;URBANA;CALLE-12--CARRERA-11;CHOQUE;VEHICULO;1;0;0;39.033.414;-76.297.349;POINT (-76.297349 3.9033414)
19;2019 Feb 20 12:00:00 AM;URBANA;CALLE-15-CARRERA-12;CHOQUE;VEHICULO;1;1;0;39.064.157;-762.970.652;POINT (-76.2970652 3.9064157)
19;2019 Feb 27 12:00:00 AM;URBANA;CALLE-4-CARRERA-23;CHOQUE;VEHICULO;0;1;0;38.997.402;-763.107.125;POINT (-76.3107125 3.8997402)
19;2019 Feb 28 12:00:00 AM;URBANA;CARRERA-14--CALLE-23;CHOQUE;VEHICULO;0;1;0;39.132.665;-762.959.832;POINT (-76.2959832 3.9132665)
19;2019 Mar 03 12:00:00 AM;URBANA;CARRERA-9--CALLE-12-SUR;CHOQUE;VEHICULO;0;0;0;38.879.655;-762.967.712;POINT (-76.2967712 3.8879655)
19;2019 Mar 04 12:00:00 AM;URBANA;CALLE-16-CARRERA-18;ATROPELLO;NA;1;1;0;3.916.878;-762.971.463;POINT (-76.2971463 3.916878)
