ANO;CODIGO_RNT;COD_MUN;COD_DPTO;ESTADO_RNT;RAZON_SOCIAL_ESTABLECIMIENTO;DEPARTAMENTO;MUNICIPIO;CATEGORIA;SUB_CATEGORIA;HABITACIONES;CAMAS;NUM_EMP
2019;17.595;76364;76;ACTIVO;HOTEL JAMUNDI REAL;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;39;45;1
2019;19.559;76364;76;ACTIVO;HOSTAL PANORAMA;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;25;31;3
2019;19.560;76364;76;ACTIVO;HOSTAL PARAISO JAMUNDI;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;25;31;3
2019;19.626;76364;76;ACTIVO;HOTEL EL VIAJERO - JAMUNDI;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;38;40;1
2019;26.177;76364;76;ACTIVO;HOSTAL PORTAL DEL SOL;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOSTAL;32;35;3
2019;26.662;76364;76;ACTIVO;GRUPO AVENTURA;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2019;26.724;76364;76;ACTIVO;XAMUNDI TOURS;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2019;27.475;76364;76;ACTIVO;REPRESENTACIONES TURISTICAS CARLOS MICOLTA;VALLE DEL CAUCA;JAMUNDI;OFICINAS DE REPRESENTACION TURÍSTICA;OFICINA DE REPRESENTACION TURÍSTICA;0;0;1
2019;28.340;76364;76;ACTIVO;TURISMO JJC;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2019;29.746;76364;76;ACTIVO;LAGOGRANDE HOTEL, RESORT Y CENTRO DE CONVENCIONES;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;16;40;24
2019;35.394;76364;76;ACTIVO;JEYVER TURES;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES Y DE TURISMO;0;0;2
2019;39.927;76364;76;ACTIVO;OPERADORES DE TURISMO LOS BULLICIOSOS S.A.S.;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2019;42.124;76364;76;ACTIVO;TROPICAL TRAVEL TOURS;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2019;42.137;76364;76;ACTIVO;VIVIANA MARTINEZ SALAS;VALLE DEL CAUCA;JAMUNDI;GUIA DE TURISMO;GUIA DE TURISMO;0;0;1
2019;45.921;76364;76;ACTIVO;RESERVA NATURAL BONANZA;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2019;51.100;76364;76;ACTIVO;DREAM TRAVELING;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES Y DE TURISMO;0;0;1
2019;55.011;76364;76;ACTIVO;FINCA LA CAROLA;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;APARTAHOTEL;4;12;1
2019;55.515;76364;76;ACTIVO;DELITUR TRAVEL;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES Y DE TURISMO;0;0;2
2019;60.781;76364;76;ACTIVO;MACA TOURS;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES Y DE TURISMO;0;0;1
