NOMBRE DEPARTAMENTO;NOMBRE MUNICIPIO;PDET;NOMBRE CENTRO POBLADO;NOMBRE SEDE EDUCATIVA;FECHA INICIO DE OPERACIÓN;FIN DE OPERACIÓN INICIAL;ESTADO
SUCRE;SAN ONOFRE;SI;VEREDA BOCA DE LOS DIAZ;CENTRO EDUCATIVO BOCA DE LOS DIAZ;;;INSTALACIÓN
SUCRE;SAN ONOFRE;SI;VDA. LA LOMA;LA LOMA;;;EN PLANEACIÓN
SUCRE;SAN ONOFRE;SI;CASERÍO PISSISI;CENTRO EDUCATIVO PISSISI;2022 Jan 01 12:00:00 AM;2032 Jan 01 12:00:00 AM;OPERACIÓN
SUCRE;SAN ONOFRE;SI;CORREG LABARCE;CENTRO EDUCATIVO LABARCES;;;EN PLANEACIÓN
SUCRE;SAN ONOFRE;SI;CORREGIMIENTO AGUAS NEGRAS;I.E. AGUAS NEGRAS - SEDE PRINCIPAL;;;EN PLANEACIÓN
SUCRE;SAN ONOFRE;SI;VEREDA EL BONGO;CENTRO EDUCATIVO EL BONGO;;;INSTALACIÓN
SUCRE;SAN ONOFRE;SI;VEREDA LA UNION;LA UNION;2022 Jan 01 12:00:00 AM;2032 Jan 01 12:00:00 AM;OPERACIÓN
SUCRE;SAN ONOFRE;SI;VEREDA BOLITO;BOLITO;;;EN PLANEACIÓN
SUCRE;SAN ONOFRE;SI;VEREDA ARROYO SECO;CENTRO EDUCATIVO ARROYO SECO;;;INSTALACIÓN
SUCRE;SAN ONOFRE;SI;VEREDA ALTO DE JULIO;CENTRO EDUCATIVO ALTO DE JULIO;2022 Jan 01 12:00:00 AM;2032 Jan 01 12:00:00 AM;OPERACIÓN
SUCRE;SAN ONOFRE;SI;VEREDA LAS HUERTAS;CENTRO EDUCATIVO LAS HUERTAS;2022 Jan 01 12:00:00 AM;2032 Jan 01 12:00:00 AM;OPERACIÓN
SUCRE;SAN ONOFRE;SI;VEREDA VISTA HERMOSA;CENTRO EDUCATIVO NUEVA VISTA HERMOSA;;;INSTALACIÓN
SUCRE;SAN ONOFRE;SI;PALMIRA;C.E. PALMIRA - SEDE PRINCIPAL;;;INSTALACIÓN
SUCRE;SAN ONOFRE;SI;PAJONALITO;CENTRO EDUCATIVO PAJONALITO;;;INSTALACIÓN
SUCRE;SAN ONOFRE;SI;CORREGIMIENTO AGUACATE;CE AGUACATE  (Sede Principal);;;INSTALACIÓN
SUCRE;SAN ONOFRE;SI;CORREG LA LIBERTAD;INST EDUC LIBERTAD;;;EN PLANEACIÓN
SUCRE;SAN ONOFRE;SI;CORREG PLAN PAREJO;I.E.  PLAN PAREJO - SEDE PRINCIPAL;;;EN PLANEACIÓN
SUCRE;LOS PALMITOS;SI;VEREDA EL RECREO;EL RECREO;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;LOS PALMITOS;SI;VDA PALMITO;C.E. PALMITO - SEDE PRINCIPAL;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;LOS PALMITOS;SI;VEREDA DE SAN JAIME;SAN JAIME;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;LOS PALMITOS;SI;VEREDA LOS MUÑECOS;LOS MUÑECOS;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;LOS PALMITOS;SI;VDA. LA UNION;LA UNION;;;INSTALACIÓN
SUCRE;CHALÁN;SI;LA ESTRELLA;LA ESTRELLA;;;EN PLANEACIÓN
SUCRE;OVEJAS;SI;VEREDA LAS BABILLAS;CENTRO EDUCATIVO LAS BABILLAS;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;TOLÚ VIEJO;SI;CASERIO LA SIRIA;CENTRO EDUCATIVO LA SIRIA;2022 Jan 01 12:00:00 AM;2032 Jan 01 12:00:00 AM;OPERACIÓN
SUCRE;TOLÚ VIEJO;SI;VEREDA SAN JOSE;CENTRO EDUCATIVO SAN JOSE;2022 Jan 01 12:00:00 AM;2032 Jan 01 12:00:00 AM;OPERACIÓN
SUCRE;TOLÚ VIEJO;SI;VEREDA LA FLORESTA;CENTRO EDUCATIVO LA FLORESTA;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;OVEJAS;SI;VEREDA DAMASCO;CENTRO EDUCATIVO DAMASCO;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;OVEJAS;SI;VEREDA VILLA COLOMBIA;CENTRO EDUCATIVO VILLA COLOMBIA;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;TOLÚ VIEJO;SI;CORREG DE LAS PIEDRAS;I.E. TÉCNICO AGROPECUARIO DE LAS PIEDRAS - SEDE PRINCIPAL;;;INSTALACIÓN
SUCRE;SAN ONOFRE;SI;CORREGIMIENTO BOCA CERRADA;CENTRO EDUCATIVO BOCA CERRADA (Sede Principal);;;INSTALACIÓN
SUCRE;TOLÚ VIEJO;SI;CORREG LA PALMIRA;INSTITUCION EDUCATIVA PALMIRA;;;INSTALACIÓN
SUCRE;PALMITO;SI;CENTRO AZUL;CENTRO EDUCATIVO CENTRO AZUL;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;COLOSÓ;SI;BAJO DON JUAN;C.E. BAJO DON JUAN - SEDE PRINCIPAL;;;INSTALACIÓN
SUCRE;MORROA;SI;CASERIO LA VICTORIA;CENTRO EDUCATIVO LA VICTORIA;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
